I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
118,62,-15,-84,94,34,40,97,70,32,-5,19
116,60,-16,-82,93,32,39,97,69,30,-6,18
113,58,-17,-80,92,30,39,96,67,27,-8,15
110,56,-17,-77,90,29,38,96,66,26,-10,13
109,55,-18,-76,89,28,40,95,66,26,-10,11
109,54,-19,-76,90,27,41,95,65,25,-11,9
109,54,-20,-75,92,26,43,95,64,25,-11,7
111,54,-21,-77,93,27,45,96,65,25,-10,7
114,56,-21,-79,95,27,47,98,66,26,-10,8
113,55,-22,-78,95,26,46,99,65,25,-10,7
109,52,-23,-75,93,24,44,99,64,24,-11,6
107,51,-22,-73,91,23,44,100,63,24,-12,5
106,50,-23,-72,91,23,44,100,63,23,-13,5
106,49,-23,-72,92,22,44,99,62,22,-13,5
109,52,-22,-75,93,24,46,101,63,23,-12,5
110,54,-21,-76,93,26,49,102,64,23,-12,6
105,51,-20,-73,89,25,48,101,63,23,-13,5
104,50,-20,-72,88,24,49,101,63,24,-13,5
107,51,-21,-73,90,24,49,100,64,24,-13,6
108,52,-22,-74,92,25,50,101,64,24,-12,6
108,52,-21,-74,92,25,50,103,65,24,-12,6
108,52,-21,-74,91,25,51,105,66,24,-12,6
108,52,-21,-74,91,25,50,106,67,24,-12,6
107,51,-22,-73,91,24,49,107,67,23,-13,6
105,50,-22,-72,90,23,49,107,67,23,-13,6
104,49,-22,-71,90,22,48,106,66,23,-14,5
104,48,-23,-70,90,22,48,104,66,22,-15,4
103,48,-23,-69,89,21,47,104,65,22,-15,3
103,48,-23,-70,89,22,48,105,66,22,-14,4
104,49,-22,-70,89,22,49,105,66,22,-14,4
103,49,-22,-70,89,22,49,105,66,22,-13,5
101,47,-22,-68,87,21,49,105,65,21,-14,4
100,46,-22,-67,87,21,48,104,63,20,-16,3
102,47,-23,-69,88,21,48,104,63,20,-16,2
103,48,-23,-70,89,21,48,104,63,19,-16,1
103,48,-23,-69,89,21,46,102,61,18,-17,1
105,49,-24,-71,91,21,47,102,61,18,-18,1
108,50,-25,-73,94,22,49,104,62,18,-17,1
108,50,-24,-73,93,22,49,105,63,19,-16,2
106,50,-23,-72,91,23,49,105,63,19,-16,1
103,48,-22,-70,89,22,49,105,63,19,-16,1
102,48,-22,-69,87,22,51,105,63,20,-14,2
101,48,-22,-69,87,22,52,105,64,20,-14,4
101,47,-22,-69,87,21,52,105,65,21,-14,5
100,47,-21,-68,85,22,52,100,63,19,-16,7
100,47,-21,-68,85,22,52,100,63,19,-16,7
100,47,-21,-68,85,22,52,100,63,19,-16,7
100,47,-21,-68,85,22,52,100,63,19,-16,7
100,47,-21,-68,85,22,52,100,63,19,-16,7
100,47,-21,-68,85,22,52,100,63,19,-16,7
100,47,-21,-68,85,22,52,100,63,19,-16,7
100,47,-21,-68,85,22,52,100,63,19,-16,7
-35,98,182,-48,-160,141,61,132,138,85,55,69
77,39,-12,-54,63,20,55,112,63,12,-27,-10
89,42,-19,-60,77,19,55,112,60,5,-38,-18
97,42,-27,-63,88,16,62,119,63,-4,-49,-25
97,36,-36,-60,95,8,66,121,56,-15,-56,-27
102,29,-51,-58,110,-3,66,121,54,-24,-66,-35
85,17,-54,-43,99,-12,63,119,49,-34,-78,-49
92,20,-55,-48,105,-10,70,124,49,-42,-88,-48
94,19,-59,-48,110,-12,74,131,48,-54,-102,-58
89,11,-66,-41,111,-21,74,127,42,-66,-116,-69
89,8,-71,-39,115,-25,78,131,41,-74,-124,-76
82,-3,-81,-30,118,-36,82,127,37,-76,-135,-79
93,4,-81,-38,126,-32,84,131,36,-81,-134,-82
96,2,-86,-38,131,-35,89,141,40,-88,-141,-85
96,-0,-90,-36,134,-38,95,146,40,-90,-146,-92
100,3,-89,-40,136,-36,99,149,40,-91,-149,-98
89,-6,-93,-30,131,-43,95,142,38,-99,-160,-108
85,-14,-100,-24,134,-51,100,148,38,-105,-165,-113
98,-4,-99,-35,143,-45,108,154,39,-106,-165,-119
97,-10,-107,-31,148,-52,110,154,32,-120,-175,-127
109,-7,-113,-38,161,-52,116,154,26,-129,-182,-134
77,-29,-117,-11,141,-68,120,154,21,-138,-191,-145
72,-33,-118,-6,138,-72,120,142,13,-145,-201,-150
77,-30,-118,-11,142,-69,125,146,8,-152,-204,-152
77,-32,-122,-9,145,-73,130,153,3,-161,-205,-156
68,-41,-125,-0,141,-80,129,144,-9,-170,-212,-162
63,-44,-127,4,139,-82,129,137,-17,-178,-223,-168
63,-47,-132,6,143,-87,129,129,-27,-187,-230,-175
42,-60,-132,22,128,-95,131,119,-39,-196,-238,-193
62,-54,-141,10,148,-95,137,117,-43,-201,-242,-190
63,-51,-138,8,148,-92,152,115,-49,-207,-242,-191
62,-57,-146,12,152,-99,159,104,-60,-219,-252,-203
54,-68,-154,22,153,-110,159,85,-74,-230,-265,-217
26,-95,-170,50,145,-134,159,65,-92,-246,-279,-231
20,-97,-167,53,139,-134,161,48,-109,-258,-288,-242
26,-103,-181,55,153,-144,164,34,-122,-268,-295,-250
31,-105,-190,54,163,-149,165,19,-134,-274,-300,-254
27,-110,-194,59,163,-154,176,1,-152,-285,-304,-259
31,-110,-197,57,169,-155,171,-28,-171,-292,-315,-264
34,-114,-206,58,178,-162,169,-38,-172,-299,-318,-271
37,-118,-215,60,186,-168,170,-44,-174,-302,-319,-275
39,-122,-223,62,193,-174,173,-48,-174,-302,-319,-277
41,-125,-230,63,201,-179,178,-45,-173,-302,-318,-279
42,-131,-239,66,207,-186,185,-39,-174,-302,-318,-283
41,-137,-248,70,213,-194,191,-34,-181,-305,-321,-289
39,-143,-255,75,217,-201,198,-35,-191,-309,-325,-296
35,-150,-262,81,220,-209,203,-43,-205,-314,-330,-304
27,-159,-269,90,219,-218,209,-56,-220,-321,-337,-314
17,-171,-277,101,218,-229,217,-70,-235,-330,-345,-325
8,-180,-284,111,217,-238,225,-82,-247,-336,-352,-335
1,-187,-287,118,214,-244,231,-94,-256,-340,-356,-341
-8,-195,-291,126,211,-250,232,-106,-263,-340,-356,-343
-10,-197,-292,128,210,-252,226,-117,-267,-333,-349,-337
-3,-190,-288,121,212,-246,218,-124,-264,-321,-336,-324
7,-180,-282,111,215,-237,206,-128,-258,-305,-319,-307
14,-169,-272,101,212,-225,191,-133,-249,-289,-302,-288
18,-158,-258,93,205,-213,173,-138,-236,-271,-285,-270
20,-146,-243,84,195,-198,156,-140,-221,-252,-266,-251
24,-131,-223,73,184,-180,142,-138,-203,-231,-246,-230
29,-112,-198,59,168,-157,135,-130,-182,-208,-224,-207
30,-92,-169,47,148,-132,132,-118,-160,-184,-202,-184
29,-74,-141,36,125,-108,130,-106,-140,-161,-179,-161
30,-57,-115,25,107,-86,128,-96,-121,-138,-157,-138
35,-42,-96,13,96,-68,122,-86,-103,-117,-136,-116
41,-30,-84,3,91,-55,110,-77,-86,-99,-117,-97
52,-17,-75,-9,93,-43,98,-64,-69,-81,-99,-79
68,-4,-69,-24,99,-32,87,-48,-50,-64,-82,-61
78,6,-64,-34,102,-23,74,-29,-32,-50,-69,-47
88,16,-58,-44,105,-14,67,-7,-14,-37,-58,-36
96,26,-50,-53,104,-4,63,15,3,-25,-49,-26
98,32,-42,-58,100,3,58,32,17,-15,-42,-19
97,38,-33,-61,93,10,57,46,29,-7,-36,-13
102,46,-25,-68,90,19,58,58,39,1,-29,-6
107,54,-18,-74,88,27,59,69,48,9,-22,1
106,58,-10,-77,81,33,58,76,55,14,-17,6
104,61,-4,-78,76,38,57,82,60,18,-13,10
103,63,0,-79,72,41,55,84,66,22,-9,12
104,66,3,-81,71,44,53,86,70,26,-5,15
105,68,7,-83,69,47,51,88,74,29,-2,17
107,72,10,-86,67,51,49,90,79,32,1,20
108,75,14,-89,66,55,47,91,81,35,3,22
107,77,18,-89,62,57,44,91,82,37,4,23
105,77,19,-89,59,58,41,90,82,38,4,24
109,80,20,-92,61,60,41,91,83,40,6,25
113,82,21,-95,63,62,41,94,83,41,7,26
113,83,21,-95,63,63,39,95,84,42,8,27
111,81,21,-94,62,62,38,96,84,42,8,27
108,80,22,-92,59,62,36,97,84,42,8,27
106,80,24,-91,56,62,35,97,85,42,8,27
105,81,26,-92,54,64,35,98,87,43,9,28
109,84,26,-94,57,65,35,100,89,45,10,30
112,85,25,-96,60,66,35,100,90,46,11,31
113,85,25,-97,60,66,36,101,90,46,12,32
114,86,25,-98,61,67,38,102,90,47,13,32
115,87,26,-99,62,68,38,102,90,47,14,33
115,87,26,-99,61,68,37,102,89,47,14,32
113,86,27,-98,59,67,35,102,89,47,13,32
113,86,27,-97,59,67,33,103,90,48,14,32
114,87,27,-99,60,68,32,103,90,48,14,33
115,88,28,-100,60,69,32,104,91,48,15,34
116,90,29,-101,60,71,30,104,91,48,16,35
115,89,29,-100,59,70,28,103,91,48,16,35
114,88,28,-99,59,69,26,102,91,48,16,36
114,87,26,-98,60,67,23,100,89,47,16,36
114,86,25,-98,61,66,21,100,88,47,17,36
114,86,25,-97,61,66,20,101,89,48,17,36
112,84,25,-96,60,65,18,102,88,48,17,36
112,85,25,-97,60,66,18,102,88,48,17,37
115,87,26,-99,62,68,19,103,89,49,18,39
116,88,27,-100,62,69,20,105,90,49,19,41
116,89,28,-100,60,69,19,105,90,49,19,42
115,88,28,-100,60,69,18,103,90,49,19,43
112,87,29,-97,57,69,17,102,89,49,20,42
113,89,30,-99,57,70,18,103,89,51,21,44
115,91,32,-102,57,73,18,103,89,52,22,45
113,90,32,-100,55,72,18,104,89,53,23,44
112,89,31,-99,55,71,17,104,90,53,23,44
114,90,31,-100,57,72,17,104,90,53,24,44
