I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, 29, 19, -19, -4, 24, 87, 244, 126, 87, 68, 29, 
14, 29, 14, -21, 0, 21, 87, 253, 126, 87, 63, 24, 
19, 29, 9, -24, 4, 19, 87, 263, 126, 87, 58, 19, 
19, 34, 14, -26, 2, 24, 92, 273, 126, 87, 58, 19, 
19, 39, 19, -29, 0, 29, 97, 283, 126, 87, 58, 19, 
19, 39, 19, -29, 0, 29, 97, 297, 126, 87, 58, 19, 
19, 39, 19, -29, 0, 29, 97, 312, 126, 87, 58, 19, 
19, 43, 24, -31, -2, 34, 92, 312, 126, 82, 53, 19, 
19, 48, 29, -34, -4, 39, 87, 312, 126, 78, 48, 19, 
19, 48, 29, -34, -4, 39, 87, 322, 126, 73, 48, 19, 
19, 48, 29, -34, -4, 39, 87, 331, 126, 68, 48, 19, 
24, 48, 24, -36, 0, 36, 87, 336, 117, 63, 39, 19, 
29, 48, 19, -39, 4, 34, 87, 341, 107, 58, 29, 19, 
29, 53, 24, -41, 2, 39, 78, 341, 97, 48, 24, 14, 
29, 58, 29, -43, 0, 43, 68, 341, 87, 39, 19, 9, 
29, 63, 34, -46, -2, 48, 63, 336, 78, 29, 9, 4, 
29, 68, 39, -48, -4, 53, 58, 331, 68, 19, 0, 0, 
34, 68, 34, -51, 0, 51, 53, 322, 53, 4, -9, -4, 
39, 68, 29, -53, 4, 48, 48, 312, 39, -9, -19, -9, 
39, 68, 29, -53, 4, 48, 39, 297, 29, -24, -29, -9, 
39, 68, 29, -53, 4, 48, 29, 283, 19, -39, -39, -9, 
39, 68, 29, -53, 4, 48, 19, 263, 4, -48, -48, -14, 
39, 68, 29, -53, 4, 48, 9, 244, -9, -58, -58, -19, 
39, 68, 29, -53, 4, 48, 0, 214, -24, -68, -63, -19, 
39, 68, 29, -53, 4, 48, -9, 185, -39, -78, -68, -19, 
39, 68, 29, -53, 4, 48, -14, 161, -39, -78, -68, -19, 
39, 68, 29, -53, 4, 48, -19, 136, -39, -78, -68, -19, 
39, 58, 19, -48, 9, 39, -19, 112, -39, -73, -63, -14, 
39, 48, 9, -43, 14, 29, -19, 87, -39, -68, -58, -9, 
39, 48, 9, -43, 14, 29, -19, 68, -29, -53, -48, -9, 
39, 48, 9, -43, 14, 29, -19, 48, -19, -39, -39, -9, 
34, 43, 9, -39, 12, 26, -19, 34, -14, -29, -24, -4, 
29, 39, 9, -34, 9, 24, -19, 19, -9, -19, -9, 0, 
9, 19, 9, -14, 0, 14, -14, 4, -4, -19, -9, 0, 
-9, 0, 9, 4, -9, 4, -9, -9, 0, -19, -9, 0, 
-9, 0, 9, 4, -9, 4, -4, -14, 0, -14, -9, 0, 
-9, 0, 9, 4, -9, 4, 0, -19, 0, -9, -9, 0, 
-9, 0, 9, 4, -9, 4, 0, -29, 0, -4, -9, 0, 
-9, 0, 9, 4, -9, 4, 0, -39, 0, 0, -9, 0, 
-14, -9, 4, 12, -9, -2, 4, -39, 0, 0, 0, 0, 
-19, -19, 0, 19, -9, -9, 9, -39, 0, 0, 9, 0, 
-19, -19, 0, 19, -9, -9, 9, -39, 0, 4, 9, 0, 
-19, -19, 0, 19, -9, -9, 9, -39, 0, 9, 9, 0, 
-24, -19, 4, 21, -14, -7, 9, -39, 0, 9, 4, -4, 
-29, -19, 9, 24, -19, -4, 9, -39, 0, 9, 0, -9, 
-29, -19, 9, 24, -19, -4, 4, -39, 0, 4, 0, -9, 
-29, -19, 9, 24, -19, -4, 0, -39, 0, 0, 0, -9, 
-29, -19, 9, 24, -19, -4, 0, -39, 0, 0, 0, -4, 
-29, -19, 9, 24, -19, -4, 0, -39, 0, 0, 0, 0, 
-34, -19, 14, 26, -24, -2, 0, -34, 0, 4, 0, 0, 
-39, -19, 19, 29, -29, 0, 0, -29, 0, 9, 0, 0, 
-39, -19, 19, 29, -29, 0, 0, -29, 0, 9, 0, -4, 
-39, -19, 19, 29, -29, 0, 0, -29, 0, 9, 0, -9, 
-39, -19, 19, 29, -29, 0, 0, -24, 4, 9, 0, -9, 
-39, -19, 19, 29, -29, 0, 0, -19, 9, 9, 0, -9, 
-34, -19, 14, 26, -24, -2, 0, -19, 9, 9, 4, -9, 
-29, -19, 9, 24, -19, -4, 0, -19, 9, 9, 9, -9, 
-29, -19, 9, 24, -19, -4, 0, -19, 9, 14, 14, -9, 
-29, -19, 9, 24, -19, -4, 0, -19, 9, 19, 19, -9, 
-29, -14, 14, 21, -21, 0, 0, -19, 14, 19, 19, -9, 
-29, -9, 19, 19, -24, 4, 0, -19, 19, 19, 19, -9, 
-29, -9, 19, 19, -24, 4, 0, -19, 19, 19, 19, -9, 
