I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-22,-7,18,14,-36,1,-5,-28,-19,-16,-25,4
-17,-4,16,10,-29,2,-2,-26,-14,-16,-22,4
-25,-9,18,17,-39,-1,-5,-28,-17,-17,-26,4
-20,-10,9,15,-29,-4,-7,-28,-19,-16,-23,4
-19,-13,1,17,-21,-9,-3,-28,-19,-17,-26,2
-18,-8,9,13,-25,-3,2,-22,-14,-16,-24,5
-14,-7,5,11,-18,-4,0,-24,-17,-15,-23,2
-15,-9,3,13,-19,-5,-0,-24,-19,-15,-23,6
-19,-6,16,13,-32,1,1,-24,-16,-14,-21,10
-18,-8,9,13,-25,-3,0,-24,-16,-14,-22,8
-14,-7,5,11,-18,-4,-0,-24,-19,-15,-22,9
-19,-12,3,16,-23,-7,1,-22,-16,-14,-20,11
-24,-13,8,19,-31,-7,-0,-26,-18,-15,-24,5
-17,-9,5,13,-21,-5,-4,-26,-19,-15,-22,4
-14,-11,-3,13,-13,-8,-3,-24,-18,-16,-23,5
-18,-10,5,14,-23,-5,-2,-21,-15,-15,-19,8
-19,-14,-1,17,-20,-10,-2,-22,-18,-15,-23,4
-22,-18,-5,20,-20,-13,-4,-26,-20,-15,-26,5
-26,-18,1,22,-29,-12,0,-21,-15,-15,-22,8
-25,-16,3,20,-29,-10,-0,-22,-15,-15,-20,8
-25,-15,5,20,-30,-9,-7,-26,-21,-17,-26,6
-32,-21,3,26,-37,-13,-7,-24,-19,-15,-23,6
-26,-16,5,21,-31,-9,-2,-22,-16,-14,-20,8
-18,-12,1,15,-19,-8,-5,-24,-17,-14,-23,6
-19,-12,3,16,-23,-7,-4,-26,-18,-14,-23,8
-25,-16,3,20,-29,-10,-0,-22,-18,-14,-22,8
-21,-15,-1,19,-21,-10,-2,-22,-19,-16,-25,4
-15,-12,-3,14,-14,-9,-0,-26,-19,-17,-24,4
-26,-12,13,19,-37,-4,3,-19,-15,-13,-21,6
-31,-16,13,23,-43,-7,-0,-22,-19,-15,-25,5
-15,-9,3,13,-19,-5,-0,-22,-20,-14,-23,7
-15,-7,8,12,-21,-3,3,-18,-18,-13,-22,9
-26,-16,5,21,-31,-9,2,-22,-21,-14,-23,6
-18,-13,-1,16,-19,-9,0,-22,-22,-15,-23,6
-15,-9,3,13,-19,-5,-2,-24,-22,-16,-23,4
-14,-12,-5,13,-11,-10,0,-19,-17,-13,-17,10
-2,0,3,1,-4,1,0,-18,-19,-14,-20,9
-18,-8,9,13,-25,-3,-5,-24,-22,-16,-20,5
-20,-14,1,18,-23,-9,-3,-22,-20,-15,-23,5
-15,-10,1,13,-17,-7,-0,-20,-19,-13,-20,8
-17,-12,-1,15,-17,-8,-5,-24,-23,-15,-26,4
-20,-17,-7,19,-17,-13,-2,-22,-22,-14,-22,7
-26,-21,-5,24,-25,-15,-2,-21,-22,-14,-20,7
-19,-18,-9,19,-14,-15,-0,-22,-20,-13,-18,9
